[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s2 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf =====
  batch 13000/25650 | loss -9.4344 | eta 3.2 min [nsf p1 chunk 8/10]
  batch 14000/25650 | loss -9.4354 | eta 2.9 min [nsf p1 chunk 8/10]
  batch 15000/25650 | loss -9.4407 | eta 2.7 min [nsf p1 chunk 8/10]
  batch 16000/25650 | loss -9.4423 | eta 2.4 min [nsf p1 chunk 8/10]
  batch 17000/25650 | loss -9.4416 | eta 2.2 min [nsf p1 chunk 8/10]
  batch 18000/25650 | loss -9.4392 | eta 1.9 min [nsf p1 chunk 8/10]
  batch 19000/25650 | loss -9.4409 | eta 1.6 min [nsf p1 chunk 8/10]
  batch 20000/25650 | loss -9.4435 | eta 1.4 min [nsf p1 chunk 8/10]
  batch 21000/25650 | loss -9.4422 | eta 1.2 min [nsf p1 chunk 8/10]
  batch 22000/25650 | loss -9.4454 | eta 0.9 min [nsf p1 chunk 8/10]
  batch 23000/25650 | loss -9.4476 | eta 0.6 min [nsf p1 chunk 8/10]
  batch 24000/25650 | loss -9.4494 | eta 0.4 min [nsf p1 chunk 8/10]
  batch 25000/25650 | loss -9.4509 | eta 0.2 min [nsf p1 chunk 8/10]
[nsf|p1] chunk 8/10 | train -9.4520 | val -8.8038
  batch 1000/25650 | loss -9.4636 | eta 6.1 min [nsf p1 chunk 9/10]
  batch 2000/25650 | loss -9.4817 | eta 5.8 min [nsf p1 chunk 9/10]
  batch 3000/25650 | loss -9.4834 | eta 5.6 min [nsf p1 chunk 9/10]
  batch 4000/25650 | loss -9.4949 | eta 5.3 min [nsf p1 chunk 9/10]
  batch 5000/25650 | loss -9.4980 | eta 5.0 min [nsf p1 chunk 9/10]
  batch 6000/25650 | loss -9.4955 | eta 4.9 min [nsf p1 chunk 9/10]
  batch 7000/25650 | loss -9.4945 | eta 4.6 min [nsf p1 chunk 9/10]
  batch 8000/25650 | loss -9.4985 | eta 4.5 min [nsf p1 chunk 9/10]
  batch 9000/25650 | loss -9.5009 | eta 4.2 min [nsf p1 chunk 9/10]
